en,de,fr,definition,category
abandonment of claims/ of subject-matter,Verzicht auf die Ansprüche/ auf den Gegenstand,abandon des revendications/ de l'objet,,"[""LAW""]"
"abandon, to ~","fallen lassen, verzichten",abandonner,,"[""LAW""]"
"abuse, (evident) ~","Missbrauch, (offensichtlicher) ~",abus (évident),,"[""LAW""]"
acetic acid,Essigsäure,acide acétique,,"[""TECH"",""CHEM""]"
hydrochloric acid,Salzsäure,"acide chlorhydrique, acide hydrochlorique",,"[""TECH"",""CHEM""]"
fatty acid,Fettsäure,acide gras,,"[""TECH"",""CHEM""]"
malic acid,Apfelsäure,acide malique,,"[""TECH"",""CHEM""]"
nitric acid,Salpetersäure,acide nitrique,,"[""TECH"",""CHEM""]"
"counter-action, counterclaim",Widerklage,action reconventionnelle,,"[""LAW""]"
inventive step,erfinderische Tätigkeit,activité inventive,,"[""LAW""]"
"inventive step, consideration of ~","erfinderische Tätigkeit, Beurteilung des Beruhens auf ~","activité inventive, appréciation de l'~",,"[""LAW""]"
"inventive step, to involve an ~","erfinderische Tätigkeit, auf einer erfinderischen Tätigkeit beruhen","activité inventive, impliquer une ~",,"[""LAW""]"
additive,Zusatzstoff,additif,,"[""TECH"",""CHEM""]"
conditioning agent,Konditionierungsmittel,agent de conditionnement,,"[""TECH"",""CHEM""]"
formalities officer,"Formalprüfer, Formalsachbearbeiter",agent des formalités,,"[""LAW""]"
reducing agent,Reduktionsmittel,agent réducteur,,"[""TECH"",""CHEM""]"
alkaline - basic - acid,alkalisch - basisch - sauer,alcalin - basique - acide,,"[""TECH"",""CHEM""]"
alkaline-earth metal,Erdalkalimetall,"alcalinoterreux, métal alcalino-terreux",,"[""TECH"",""CHEM""]"
alcohol,Alkohol -OH,alcool,,"[""TECH"",""CHEM""]"
fatty alcohol,Fettalkohol,alcool gras,,"[""TECH"",""CHEM""]"
PVA (polyvinyl alcohol),PVA (Polyvinylalkohol),alcool polyvinylique,,"[""TECH"",""CHEM""]"
subparagraph,Unterabsatz,alinéa,,"[""LAW""]"
alloy,Legierung,alliage,,"[""TECH"",""CHEM""]"
amino acid,Aminosäure,"aminoacide, acid aminé",,"[""TECH"",""CHEM""]"
"set aside, to ~",aufheben,annuler,,"[""LAW""]"
"applicability, industrial ~, industrial application","Anwendbarkeit, gewerbliche ~",application industrielle,,"[""LAW""]"
aqueous,wässrig,aqueux,,"[""TECH"",""CHEM""]"
shaft,Welle,arbre,,"[""TECH""]"
"hearing, ~ of witnesses and experts, ~ the parties","Vernehmung, ~ von Zeugen und Sachverständigen, ~ der Beteiligten","audition, ~ des témoins et experts, ~ des parties",,"[""LAW""]"
processing aid,Verarbeitungshilfstoff,auxiliaire de mise en oeuvre,,"[""TECH"",""CHEM""]"
"morality, contrary to ~","sittenwidrig, gegen die guten Sitten verstoßen","bonnes mœurs, contraire aux ~",,"[""LAW""]"
sludge,"Schlamm, Schlacke",boue,,"[""TECH"",""CHEM""]"
patent,Patent,brevet,,"[""LAW""]"
patent declared invalid,"Patent, das für nichtig erklärt worden ist",brevet annulé,,"[""LAW""]"
"patent, product ~",Stoffpatent,brevet de produit,,"[""LAW""]"
"patent, dependent ~","Patent, abhängiges ~",brevet dépendant,,"[""LAW""]"
"patent, independent ~","Patent, unabhängiges ~",brevet indépendant,,"[""LAW""]"
patent limited in opposition proceedings,"Patent, das im Einspruchsverfahren beschränkt worden ist",brevet limité au cours d'une procédure d'opposition,,"[""LAW""]"
patent revoked in revocation proceedings,"Patent, das im Nichtigkeitsverfahren widerrufen worden ist",brevet révoqué au cours d'une procédure de nullité,,"[""LAW""]"
patent as granted or limited,Patent in der erteilten oder beschränkten Fassung,brevet tel que délivré ou limité,,"[""LAW""]"
patent as amended or corrected,Patent in der geänderten oder berichtigten Fassung,brevet tel que modifié ou corrigé,,"[""LAW""]"
"patent, lapsed ~","Patent, verfallenes ~",brevet tombé en déchéance,,"[""LAW""]"
